'Elapsed time','V5','V2'
'seconds','mV','mV'
0.000,-0.150,0.200
0.003,-0.150,0.200
0.006,-0.150,0.200
0.008,-0.150,0.200
0.011,-0.150,0.200
0.014,-0.150,0.200
0.017,-0.150,0.200
0.019,-0.150,0.200
0.022,-0.145,0.200
0.025,-0.135,0.215
0.028,-0.110,0.235
0.031,-0.080,0.240
0.033,-0.040,0.240
0.036,0.000,0.245
0.039,0.125,0.265
0.042,0.485,0.335
0.044,0.925,0.460
0.047,0.985,0.775
0.050,0.625,1.030
0.053,0.250,0.935
0.056,0.095,0.665
0.058,0.100,0.485
0.061,0.120,0.445
0.064,0.110,0.425
0.067,0.080,0.395
0.069,0.050,0.355
0.072,0.040,0.335
0.075,0.035,0.330
0.078,0.045,0.335
0.081,0.060,0.300
0.083,0.060,0.305
0.086,0.045,0.260
0.089,0.015,0.235
0.092,0.010,0.210
0.094,0.000,0.195
0.097,0.000,0.165
0.100,-0.020,0.165
0.103,-0.035,0.135
0.106,-0.065,0.115
0.108,-0.075,0.110
0.111,-0.110,0.110
0.114,-0.145,0.105
0.117,-0.180,0.085
0.119,-0.225,0.065
0.122,-0.270,0.035
0.125,-0.310,0.040
0.128,-0.380,0.030
0.131,-0.455,0.020
0.133,-0.510,-0.005
0.136,-0.565,-0.020
0.139,-0.620,-0.040
0.142,-0.665,-0.030
0.144,-0.705,-0.035
0.147,-0.750,-0.045
0.150,-0.790,-0.070
0.153,-0.830,-0.105
0.156,-0.860,-0.150
0.158,-0.880,-0.180
0.161,-0.885,-0.220
0.164,-0.900,-0.255
0.167,-0.900,-0.300
0.169,-0.895,-0.330
0.172,-0.885,-0.345
0.175,-0.870,-0.370
0.178,-0.855,-0.385
0.181,-0.845,-0.405
0.183,-0.825,-0.435
0.186,-0.820,-0.475
0.189,-0.800,-0.480
0.192,-0.770,-0.500
0.194,-0.720,-0.510
0.197,-0.655,-0.535
0.200,-0.610,-0.565
0.203,-0.580,-0.580
0.206,-0.550,-0.565
0.208,-0.490,-0.530
0.211,-0.445,-0.485
0.214,-0.380,-0.445
0.217,-0.345,-0.400
0.219,-0.310,-0.360
0.222,-0.300,-0.305
0.225,-0.270,-0.245
0.228,-0.235,-0.180
0.231,-0.225,-0.125
0.233,-0.215,-0.085
0.236,-0.220,-0.055
0.239,-0.225,-0.015
0.242,-0.220,0.020
0.244,-0.210,0.055
0.247,-0.200,0.085
0.250,-0.180,0.095
0.253,-0.190,0.095
0.256,-0.205,0.095
0.258,-0.205,0.110
0.261,-0.210,0.145
0.264,-0.205,0.155
0.267,-0.200,0.175
0.269,-0.200,0.185
0.272,-0.190,0.215
0.275,-0.175,0.245
0.278,-0.165,0.275
0.281,-0.130,0.295
0.283,-0.145,0.310
0.286,-0.125,0.315
0.289,-0.130,0.320
0.292,-0.115,0.335
0.294,-0.095,0.350
0.297,-0.085,0.345
0.300,-0.080,0.340
0.303,-0.080,0.335
0.306,-0.085,0.330
0.308,-0.075,0.345
0.311,-0.065,0.365
0.314,-0.050,0.360
0.317,-0.045,0.365
0.319,-0.050,0.350
0.322,-0.050,0.350
0.325,-0.045,0.360
0.328,-0.035,0.370
0.331,-0.015,0.385
0.333,-0.020,0.380
0.336,-0.035,0.375
0.339,-0.025,0.365
0.342,-0.030,0.370
0.344,-0.010,0.390
0.347,-0.010,0.390
0.350,0.005,0.395
0.353,-0.005,0.395
0.356,-0.005,0.385
0.358,-0.005,0.400
0.361,0.010,0.415
0.364,0.020,0.415
0.367,0.025,0.420
0.369,0.020,0.410
0.372,0.015,0.410
0.375,0.020,0.430
0.378,0.035,0.435
0.381,0.050,0.440
0.383,0.040,0.440
0.386,0.045,0.440
0.389,0.040,0.430
0.392,0.035,0.445
0.394,0.055,0.465
0.397,0.065,0.470
0.400,0.060,0.465
0.403,0.055,0.465
0.406,0.055,0.465
0.408,0.065,0.470
0.411,0.080,0.490
0.414,0.070,0.495
0.417,0.090,0.500
0.419,0.080,0.485
0.422,0.070,0.490
0.425,0.075,0.505
0.428,0.085,0.520
0.431,0.100,0.520
0.433,0.095,0.520
0.436,0.090,0.520
0.439,0.080,0.515
0.442,0.080,0.530
0.444,0.095,0.535
0.447,0.095,0.550
0.450,0.090,0.545
0.453,0.090,0.535
0.456,0.090,0.535
0.458,0.090,0.540
0.461,0.075,0.545
0.464,0.085,0.560
0.467,0.105,0.535
0.469,0.080,0.540
0.472,0.065,0.520
0.475,0.065,0.525
0.478,0.070,0.525
0.481,0.075,0.535
0.483,0.065,0.520
0.486,0.055,0.510
0.489,0.035,0.500
0.492,0.035,0.505
0.494,0.035,0.515
0.497,0.035,0.495
0.500,0.025,0.485
0.503,0.010,0.465
0.506,0.000,0.455
0.508,-0.020,0.465
0.511,-0.010,0.465
0.514,-0.015,0.470
0.517,-0.020,0.450
0.519,-0.050,0.440
0.522,-0.060,0.430
0.525,-0.060,0.425
0.528,-0.065,0.425
0.531,-0.065,0.420
0.533,-0.080,0.400
0.536,-0.095,0.380
0.539,-0.100,0.370
0.542,-0.095,0.375
0.544,-0.100,0.380
0.547,-0.090,0.375
0.550,-0.100,0.365
0.553,-0.110,0.345
0.556,-0.135,0.340
0.558,-0.135,0.330
0.561,-0.125,0.335
0.564,-0.120,0.330
0.567,-0.115,0.330
0.569,-0.135,0.310
0.572,-0.150,0.300
0.575,-0.145,0.295
0.578,-0.145,0.300
0.581,-0.135,0.305
0.583,-0.135,0.295
0.586,-0.145,0.290
0.589,-0.155,0.280
0.592,-0.150,0.285
0.594,-0.140,0.295
0.597,-0.140,0.290
0.600,-0.145,0.280
0.603,-0.150,0.280
0.606,-0.150,0.270
0.608,-0.170,0.290
0.611,-0.155,0.275
0.614,-0.145,0.285
0.617,-0.135,0.265
0.619,-0.150,0.275
0.622,-0.160,0.265
0.625,-0.155,0.275
0.628,-0.160,0.290
0.631,-0.135,0.275
0.633,-0.145,0.265
0.636,-0.150,0.260
0.639,-0.165,0.260
0.642,-0.155,0.260
0.644,-0.140,0.275
0.647,-0.135,0.270
0.650,-0.155,0.255
0.653,-0.150,0.260
0.656,-0.165,0.255
0.658,-0.165,0.250
0.661,-0.160,0.265
0.664,-0.150,0.270
0.667,-0.150,0.265
0.669,-0.150,0.245
0.672,-0.150,0.250
0.675,-0.175,0.255
0.678,-0.165,0.265
0.681,-0.155,0.265
0.683,-0.160,0.265
0.686,-0.170,0.265
0.689,-0.175,0.255
0.692,-0.185,0.255
0.694,-0.160,0.275
0.697,-0.160,0.265
0.700,-0.165,0.260
0.703,-0.180,0.250
0.706,-0.190,0.250
0.708,-0.195,0.255
0.711,-0.180,0.265
0.714,-0.180,0.260
0.717,-0.185,0.250
0.719,-0.195,0.245
0.722,-0.210,0.230
0.725,-0.205,0.245
0.728,-0.200,0.260
0.731,-0.200,0.245
0.733,-0.205,0.240
0.736,-0.220,0.225
0.739,-0.240,0.230
0.742,-0.230,0.235
0.744,-0.220,0.240
0.747,-0.215,0.240
0.750,-0.225,0.240
0.753,-0.225,0.230
0.756,-0.245,0.220
0.758,-0.235,0.230
0.761,-0.230,0.230
0.764,-0.215,0.225
0.767,-0.215,0.235
0.769,-0.235,0.205
0.772,-0.245,0.210
0.775,-0.235,0.220
0.778,-0.230,0.225
0.781,-0.225,0.225
0.783,-0.235,0.230
0.786,-0.250,0.210
0.789,-0.260,0.205
0.792,-0.250,0.215
0.794,-0.245,0.215
0.797,-0.230,0.235
0.800,-0.245,0.210
0.803,-0.250,0.205
0.806,-0.250,0.195
0.808,-0.255,0.215
0.811,-0.250,0.220
