'Elapsed time','MLII','V1'
'seconds','mV','mV'
0.000,-0.035,0.035
0.003,-0.035,0.035
0.006,-0.035,0.035
0.008,-0.035,0.035
0.011,-0.035,0.035
0.014,-0.035,0.035
0.017,-0.035,0.035
0.019,-0.035,0.035
0.022,-0.035,0.035
0.025,-0.035,0.060
0.028,-0.020,0.085
0.031,-0.040,0.070
0.033,-0.065,0.045
0.036,-0.080,0.010
0.039,-0.100,0.010
0.042,-0.090,0.015
0.044,-0.080,0.005
0.047,-0.105,0.000
0.050,-0.095,-0.025
0.053,-0.125,-0.055
0.056,-0.135,-0.045
0.058,-0.125,-0.040
0.061,-0.115,-0.025
0.064,-0.105,-0.025
0.067,-0.120,-0.025
0.069,-0.130,-0.030
0.072,-0.125,-0.010
0.075,-0.120,-0.010
0.078,-0.105,0.005
0.081,-0.100,0.000
0.083,-0.115,-0.005
0.086,-0.125,-0.025
0.089,-0.130,-0.005
0.092,-0.130,0.005
0.094,-0.115,0.015
0.097,-0.115,0.020
0.100,-0.110,0.000
0.103,-0.125,0.005
0.106,-0.130,0.015
0.108,-0.120,0.035
0.111,-0.105,0.035
0.114,-0.105,0.040
0.117,-0.090,0.015
0.119,-0.125,0.015
0.122,-0.135,0.025
0.125,-0.120,0.030
0.128,-0.100,0.050
0.131,-0.110,0.035
0.133,-0.115,0.035
0.136,-0.120,0.025
0.139,-0.115,0.040
0.142,-0.110,0.050
0.144,-0.090,0.055
0.147,-0.085,0.050
0.150,-0.095,0.040
0.153,-0.120,0.045
0.156,-0.125,0.040
0.158,-0.120,0.040
0.161,-0.110,0.060
0.164,-0.100,0.045
0.167,-0.115,0.030
0.169,-0.135,0.020
0.172,-0.135,0.025
0.175,-0.140,0.050
0.178,-0.110,0.055
0.181,-0.130,0.050
0.183,-0.135,0.030
0.186,-0.150,0.000
0.189,-0.140,0.010
0.192,-0.135,0.020
0.194,-0.130,0.035
0.197,-0.140,0.025
0.200,-0.135,0.025
0.203,-0.145,0.010
0.206,-0.145,0.015
0.208,-0.135,0.035
0.211,-0.120,0.035
0.214,-0.125,0.035
0.217,-0.130,0.015
0.219,-0.145,0.015
0.222,-0.145,0.025
0.225,-0.125,0.050
0.228,-0.125,0.060
0.231,-0.135,0.035
0.233,-0.130,0.025
0.236,-0.145,0.020
0.239,-0.155,0.030
0.242,-0.150,0.050
0.244,-0.135,0.045
0.247,-0.135,0.030
0.250,-0.140,0.000
0.253,-0.160,-0.005
0.256,-0.165,0.015
0.258,-0.150,0.045
0.261,-0.145,0.070
0.264,-0.135,0.060
0.267,-0.150,0.050
0.269,-0.145,0.055
0.272,-0.150,0.055
0.275,-0.140,0.075
0.278,-0.125,0.085
0.281,-0.120,0.075
0.283,-0.120,0.070
0.286,-0.120,0.065
0.289,-0.115,0.075
0.292,-0.115,0.080
0.294,-0.090,0.080
0.297,-0.070,0.055
0.300,-0.075,0.020
0.303,-0.090,0.000
0.306,-0.090,0.025
0.308,-0.075,0.020
0.311,-0.065,0.045
0.314,-0.075,0.040
0.317,-0.070,0.020
0.319,-0.110,-0.005
0.322,-0.095,-0.005
0.325,-0.100,0.005
0.328,-0.085,-0.005
0.331,-0.080,-0.005
0.333,-0.095,-0.025
0.336,-0.125,-0.030
0.339,-0.140,-0.055
0.342,-0.125,-0.055
0.344,-0.130,-0.050
0.347,-0.125,-0.045
0.350,-0.150,-0.040
0.353,-0.155,-0.040
0.356,-0.165,-0.030
0.358,-0.145,-0.025
0.361,-0.150,-0.005
0.364,-0.145,0.000
0.367,-0.175,0.005
0.369,-0.195,0.000
0.372,-0.205,0.015
0.375,-0.190,0.040
0.378,-0.185,0.050
0.381,-0.185,0.035
0.383,-0.200,0.010
0.386,-0.205,0.000
0.389,-0.220,0.010
0.392,-0.205,0.040
0.394,-0.185,0.050
0.397,-0.195,0.045
0.400,-0.225,0.025
0.403,-0.215,0.035
0.406,-0.230,0.030
0.408,-0.220,0.050
0.411,-0.220,0.055
0.414,-0.220,0.055
0.417,-0.230,0.030
0.419,-0.235,0.025
0.422,-0.245,0.035
0.425,-0.235,0.045
0.428,-0.215,0.055
0.431,-0.225,0.050
0.433,-0.230,0.045
0.436,-0.245,0.025
0.439,-0.250,0.020
0.442,-0.240,0.040
0.444,-0.235,0.045
0.447,-0.215,0.050
0.450,-0.230,0.040
0.453,-0.250,0.030
0.456,-0.240,0.035
0.458,-0.230,0.025
0.461,-0.220,0.020
0.464,-0.215,0.025
0.467,-0.225,0.015
0.469,-0.240,0.010
0.472,-0.245,0.015
0.475,-0.230,0.035
0.478,-0.220,0.055
0.481,-0.205,0.030
0.483,-0.195,-0.020
0.486,-0.185,-0.130
0.489,-0.175,-0.230
0.492,-0.135,-0.360
0.494,-0.090,-0.490
0.497,-0.035,-0.640
0.500,0.030,-0.780
0.503,0.110,-0.880
0.506,0.180,-0.930
0.508,0.220,-0.925
0.511,0.220,-0.905
0.514,0.185,-0.925
0.517,0.085,-0.940
0.519,-0.035,-0.925
0.522,-0.095,-0.900
0.525,-0.095,-0.845
0.528,-0.025,-0.795
0.531,0.085,-0.770
0.533,0.205,-0.750
0.536,0.340,-0.730
0.539,0.480,-0.695
0.542,0.595,-0.665
0.544,0.670,-0.640
0.547,0.680,-0.615
0.550,0.590,-0.570
0.553,0.455,-0.525
0.556,0.335,-0.430
0.558,0.230,-0.340
0.561,0.140,-0.275
0.564,0.035,-0.225
0.567,-0.090,-0.175
0.569,-0.200,-0.125
0.572,-0.300,-0.050
0.575,-0.390,0.050
0.578,-0.445,0.115
0.581,-0.485,0.145
0.583,-0.510,0.150
0.586,-0.495,0.155
0.589,-0.455,0.175
0.592,-0.425,0.195
0.594,-0.380,0.205
0.597,-0.335,0.210
0.600,-0.330,0.220
0.603,-0.320,0.215
0.606,-0.330,0.220
0.608,-0.310,0.250
0.611,-0.315,0.260
0.614,-0.300,0.250
0.617,-0.310,0.235
0.619,-0.315,0.230
0.622,-0.320,0.240
0.625,-0.290,0.265
0.628,-0.285,0.270
0.631,-0.270,0.265
0.633,-0.275,0.260
0.636,-0.295,0.260
0.639,-0.295,0.265
0.642,-0.285,0.285
0.644,-0.285,0.300
