'Elapsed time','V5','MLII'
'seconds','mV','mV'
0.000,-0.045,0.015
0.003,-0.045,0.015
0.006,-0.045,0.015
0.008,-0.045,0.015
0.011,-0.045,0.015
0.014,-0.045,0.015
0.017,-0.045,0.015
0.019,-0.045,0.015
0.022,-0.045,0.015
0.025,-0.045,0.040
0.028,-0.010,0.065
0.031,0.000,0.070
0.033,-0.015,0.075
0.036,-0.025,0.080
0.039,-0.010,0.105
0.042,0.000,0.135
0.044,0.020,0.160
0.047,0.020,0.160
0.050,0.010,0.165
0.053,-0.005,0.170
0.056,0.000,0.205
0.058,-0.005,0.210
0.061,0.000,0.225
0.064,0.005,0.220
0.067,-0.010,0.210
0.069,-0.040,0.185
0.072,-0.045,0.190
0.075,-0.055,0.195
0.078,-0.045,0.195
0.081,-0.065,0.180
0.083,-0.075,0.145
0.086,-0.100,0.125
0.089,-0.110,0.115
0.092,-0.125,0.130
0.094,-0.105,0.125
0.097,-0.130,0.100
0.100,-0.145,0.075
0.103,-0.155,0.055
0.106,-0.175,0.060
0.108,-0.165,0.060
0.111,-0.165,0.060
0.114,-0.175,0.050
0.117,-0.180,0.020
0.119,-0.200,0.025
0.122,-0.225,0.020
0.125,-0.210,0.025
0.128,-0.205,0.040
0.131,-0.225,0.020
0.133,-0.220,0.015
0.136,-0.235,-0.005
0.139,-0.235,0.000
0.142,-0.225,0.015
0.144,-0.230,0.025
0.147,-0.215,0.020
0.150,-0.215,0.015
0.153,-0.255,-0.005
0.156,-0.245,0.000
0.158,-0.240,0.005
0.161,-0.240,0.015
0.164,-0.235,0.005
0.167,-0.245,0.000
0.169,-0.260,-0.005
0.172,-0.245,0.000
0.175,-0.245,0.010
0.178,-0.230,0.020
0.181,-0.230,-0.010
0.183,-0.230,-0.020
0.186,-0.245,-0.020
0.189,-0.250,-0.030
0.192,-0.235,0.000
0.194,-0.230,0.010
0.197,-0.235,-0.010
0.200,-0.235,-0.020
0.203,-0.260,-0.035
0.206,-0.270,-0.025
0.208,-0.255,-0.025
0.211,-0.230,-0.005
0.214,-0.235,-0.010
0.217,-0.230,-0.025
0.219,-0.255,-0.040
0.222,-0.255,-0.030
0.225,-0.255,-0.015
0.228,-0.240,-0.025
0.231,-0.235,-0.020
0.233,-0.250,-0.040
0.236,-0.260,-0.040
0.239,-0.260,-0.035
0.242,-0.260,-0.025
0.244,-0.240,-0.015
0.247,-0.225,-0.030
0.250,-0.235,-0.040
0.253,-0.255,-0.045
0.256,-0.255,-0.025
0.258,-0.245,-0.020
0.261,-0.225,-0.005
0.264,-0.235,-0.010
0.267,-0.235,-0.025
0.269,-0.250,-0.035
0.272,-0.260,-0.020
0.275,-0.240,-0.005
0.278,-0.215,-0.005
0.281,-0.220,-0.010
0.283,-0.235,-0.015
0.286,-0.245,-0.020
0.289,-0.235,-0.015
0.292,-0.235,0.000
0.294,-0.230,0.005
0.297,-0.225,-0.005
0.300,-0.230,-0.015
0.303,-0.245,-0.015
0.306,-0.255,-0.015
0.308,-0.250,0.010
0.311,-0.225,0.005
0.314,-0.230,0.000
0.317,-0.245,-0.025
0.319,-0.265,-0.020
0.322,-0.255,-0.015
0.325,-0.250,0.000
0.328,-0.245,0.005
0.331,-0.230,0.000
0.333,-0.240,-0.015
0.336,-0.270,-0.020
0.339,-0.270,-0.030
0.342,-0.250,0.000
0.344,-0.240,0.010
0.347,-0.245,0.000
0.350,-0.255,-0.015
0.353,-0.275,-0.020
0.356,-0.270,-0.025
0.358,-0.285,-0.010
0.361,-0.265,0.005
0.364,-0.255,0.000
0.367,-0.270,-0.015
0.369,-0.285,-0.020
0.372,-0.285,-0.020
0.375,-0.275,-0.005
0.378,-0.265,-0.005
0.381,-0.280,-0.015
0.383,-0.270,-0.025
0.386,-0.285,-0.035
0.389,-0.290,-0.015
0.392,-0.285,-0.015
0.394,-0.265,-0.010
0.397,-0.270,-0.015
0.400,-0.270,-0.020
0.403,-0.285,-0.030
0.406,-0.285,-0.040
0.408,-0.275,-0.030
0.411,-0.265,-0.020
0.414,-0.270,-0.020
0.417,-0.290,-0.030
0.419,-0.285,-0.040
0.422,-0.300,-0.030
0.425,-0.285,-0.025
0.428,-0.275,-0.020
0.431,-0.265,-0.030
0.433,-0.275,-0.035
0.436,-0.295,-0.035
0.439,-0.290,-0.035
0.442,-0.275,-0.030
0.444,-0.270,-0.015
0.447,-0.270,-0.025
0.450,-0.285,-0.040
0.453,-0.295,-0.055
0.456,-0.295,-0.030
0.458,-0.285,-0.030
0.461,-0.285,-0.015
0.464,-0.280,-0.030
0.467,-0.285,-0.045
0.469,-0.295,-0.045
0.472,-0.310,-0.040
0.475,-0.290,-0.040
0.478,-0.275,-0.015
0.481,-0.265,-0.030
0.483,-0.285,-0.040
0.486,-0.300,-0.045
0.489,-0.290,-0.030
0.492,-0.290,-0.020
0.494,-0.280,-0.015
0.497,-0.275,-0.030
0.500,-0.285,-0.045
0.503,-0.295,-0.045
0.506,-0.285,-0.030
0.508,-0.285,-0.035
0.511,-0.285,-0.025
0.514,-0.285,-0.035
0.517,-0.285,-0.030
0.519,-0.290,-0.055
0.522,-0.295,-0.040
0.525,-0.295,-0.025
0.528,-0.270,-0.015
0.531,-0.265,-0.015
0.533,-0.275,-0.030
0.536,-0.285,-0.045
0.539,-0.295,-0.040
0.542,-0.280,-0.030
0.544,-0.270,-0.025
0.547,-0.265,-0.030
0.550,-0.270,-0.035
0.553,-0.285,-0.050
0.556,-0.285,-0.055
0.558,-0.270,-0.040
0.561,-0.260,-0.020
0.564,-0.265,-0.025
0.567,-0.265,-0.040
0.569,-0.305,-0.050
0.572,-0.295,-0.030
0.575,-0.270,-0.020
0.578,-0.270,-0.015
0.581,-0.265,-0.015
0.583,-0.275,-0.050
0.586,-0.290,-0.050
0.589,-0.295,-0.025
0.592,-0.280,-0.015
0.594,-0.265,-0.010
0.597,-0.260,-0.020
0.600,-0.265,-0.030
0.603,-0.295,-0.030
0.606,-0.290,-0.030
0.608,-0.285,-0.020
0.611,-0.280,0.000
0.614,-0.245,-0.010
0.617,-0.270,-0.025
0.619,-0.265,-0.040
0.622,-0.270,-0.015
0.625,-0.255,-0.010
0.628,-0.240,0.005
0.631,-0.225,0.010
0.633,-0.235,0.005
0.636,-0.245,0.000
0.639,-0.240,0.010
0.642,-0.225,0.035
0.644,-0.195,0.035
0.647,-0.195,0.020
0.650,-0.195,0.025
0.653,-0.205,0.010
0.656,-0.205,0.035
0.658,-0.200,0.045
0.661,-0.180,0.055
0.664,-0.200,0.050
0.667,-0.220,0.025
0.669,-0.230,0.020
0.672,-0.230,0.020
0.675,-0.230,0.015
0.678,-0.235,0.025
0.681,-0.240,0.015
0.683,-0.245,0.005
0.686,-0.255,-0.005
0.689,-0.260,0.015
0.692,-0.245,0.030
0.694,-0.230,0.030
0.697,-0.240,0.035
0.700,-0.245,0.030
0.703,-0.265,0.025
0.706,-0.240,0.035
0.708,-0.225,0.055
0.711,-0.225,0.060
0.714,-0.220,0.030
0.717,-0.225,0.005
0.719,-0.260,-0.005
0.722,-0.265,-0.005
0.725,-0.280,0.005
0.728,-0.275,0.020
0.731,-0.285,0.005
0.733,-0.300,-0.005
0.736,-0.290,-0.005
0.739,-0.290,-0.015
0.742,-0.280,-0.005
0.744,-0.260,0.005
0.747,-0.260,-0.005
0.750,-0.300,-0.020
0.753,-0.295,-0.020
0.756,-0.305,-0.015
0.758,-0.295,-0.005
0.761,-0.285,0.000
0.764,-0.275,-0.015
0.767,-0.295,-0.025
0.769,-0.310,-0.030
0.772,-0.305,-0.015
0.775,-0.285,-0.005
0.778,-0.275,0.005
0.781,-0.285,-0.005
0.783,-0.290,-0.025
0.786,-0.290,-0.030
0.789,-0.315,-0.015
0.792,-0.290,-0.010
0.794,-0.280,0.005
0.797,-0.270,0.000
0.800,-0.290,-0.005
0.803,-0.295,-0.020
0.806,-0.300,-0.005
0.808,-0.295,0.015
0.811,-0.280,0.025
0.814,-0.280,0.025
0.817,-0.275,0.020
0.819,-0.295,0.030
0.822,-0.290,0.065
0.825,-0.255,0.110
0.828,-0.240,0.140
0.831,-0.215,0.190
0.833,-0.195,0.235
0.836,-0.175,0.285
0.839,-0.165,0.355
0.842,-0.175,0.485
0.844,-0.235,0.635
0.847,-0.305,0.800
0.850,-0.350,0.965
0.853,-0.405,1.125
0.856,-0.485,1.325
0.858,-0.540,1.535
0.861,-0.545,1.760
0.864,-0.470,1.980
0.867,-0.340,2.050
0.869,-0.180,1.880
0.872,-0.060,1.400
0.875,-0.045,0.770
0.878,-0.215,0.280
0.881,-0.515,0.010
0.883,-0.725,-0.070
0.886,-0.770,-0.055
0.889,-0.690,-0.025
0.892,-0.530,-0.005
0.894,-0.385,0.000
0.897,-0.305,-0.005
0.900,-0.290,-0.040
0.903,-0.285,-0.065
0.906,-0.275,-0.075
0.908,-0.270,-0.060
0.911,-0.245,-0.070
0.914,-0.250,-0.070
0.917,-0.250,-0.090
0.919,-0.245,-0.110
0.922,-0.235,-0.095
0.925,-0.225,-0.090
0.928,-0.200,-0.075
0.931,-0.210,-0.080
0.933,-0.200,-0.095
0.936,-0.220,-0.105
0.939,-0.215,-0.080
0.942,-0.210,-0.090
0.944,-0.190,-0.085
0.947,-0.190,-0.090
0.950,-0.190,-0.105
0.953,-0.205,-0.105
0.956,-0.205,-0.105
0.958,-0.200,-0.090
0.961,-0.175,-0.085
0.964,-0.175,-0.100
0.967,-0.185,-0.125
0.969,-0.205,-0.135
0.972,-0.200,-0.115
0.975,-0.190,-0.110
0.978,-0.165,-0.095
0.981,-0.170,-0.120
0.983,-0.180,-0.145
0.986,-0.195,-0.125
0.989,-0.195,-0.120
0.992,-0.180,-0.125
0.994,-0.180,-0.105
0.997,-0.170,-0.115
1.000,-0.175,-0.135
1.003,-0.185,-0.145
1.006,-0.180,-0.125
1.008,-0.170,-0.125
1.011,-0.160,-0.115
1.014,-0.160,-0.115
1.017,-0.185,-0.130
1.019,-0.170,-0.130
1.022,-0.180,-0.120
1.025,-0.165,-0.125
1.028,-0.140,-0.110
1.031,-0.130,-0.115
1.033,-0.125,-0.125
1.036,-0.140,-0.125
1.039,-0.145,-0.105
1.042,-0.135,-0.105
1.044,-0.130,-0.095
1.047,-0.115,-0.105
1.050,-0.125,-0.125
1.053,-0.120,-0.115
1.056,-0.120,-0.110
1.058,-0.120,-0.095
1.061,-0.110,-0.085
1.064,-0.095,-0.085
1.067,-0.100,-0.105
1.069,-0.105,-0.100
1.072,-0.110,-0.095
1.075,-0.100,-0.060
1.078,-0.075,-0.060
1.081,-0.075,-0.055
1.083,-0.085,-0.060
1.086,-0.070,-0.070
1.089,-0.080,-0.040
1.092,-0.060,-0.025
1.094,-0.040,-0.005
1.097,-0.030,0.000
1.100,-0.035,-0.005
1.103,-0.040,0.005
1.106,-0.030,0.030
1.108,-0.010,0.055
1.111,-0.005,0.095
1.114,0.005,0.090
1.117,0.005,0.095
1.119,-0.005,0.100
1.122,-0.005,0.130
1.125,0.010,0.160
1.128,0.025,0.190
1.131,0.025,0.190
1.133,0.000,0.180
1.136,-0.010,0.185
1.139,-0.010,0.205
1.142,-0.020,0.230
1.144,0.010,0.240
1.147,0.010,0.235
1.150,-0.010,0.220
1.153,-0.030,0.215
1.156,-0.035,0.215
1.158,-0.040,0.215
1.161,-0.035,0.225
1.164,-0.055,0.210
1.167,-0.065,0.180
1.169,-0.080,0.155
1.172,-0.100,0.160
1.175,-0.095,0.160
1.178,-0.095,0.155
1.181,-0.115,0.135
1.183,-0.130,0.110
1.186,-0.150,0.095
1.189,-0.165,0.090
1.192,-0.165,0.100
1.194,-0.165,0.090
1.197,-0.180,0.075
1.200,-0.180,0.065
1.203,-0.210,0.040
1.206,-0.200,0.055
1.208,-0.200,0.060
1.211,-0.190,0.070
1.214,-0.195,0.050
1.217,-0.215,0.035
1.219,-0.220,0.025
1.222,-0.220,0.040
1.225,-0.215,0.045
1.228,-0.210,0.045
1.231,-0.215,0.035
1.233,-0.225,0.020
1.236,-0.230,0.015
1.239,-0.250,0.015
1.242,-0.235,0.030
1.244,-0.220,0.050
1.247,-0.225,0.030
1.250,-0.235,0.020
1.253,-0.245,0.010
1.256,-0.245,0.025
1.258,-0.240,0.035
1.261,-0.225,0.025
1.264,-0.220,0.015
1.267,-0.245,0.015
1.269,-0.265,0.000
1.272,-0.245,0.015
1.275,-0.245,0.015
1.278,-0.235,0.020
1.281,-0.235,0.010
1.283,-0.240,-0.005
1.286,-0.265,-0.005
1.289,-0.265,-0.005
1.292,-0.255,0.010
1.294,-0.235,0.030
1.297,-0.225,0.005
1.300,-0.245,-0.010
1.303,-0.260,-0.005
1.306,-0.260,-0.015
1.308,-0.255,0.000
1.311,-0.240,0.005
1.314,-0.245,0.000
1.317,-0.250,-0.020
1.319,-0.265,-0.020
1.322,-0.255,-0.010
1.325,-0.255,0.015
1.328,-0.245,0.015
1.331,-0.235,-0.005
1.333,-0.250,-0.005
1.336,-0.265,-0.010
1.339,-0.260,-0.010
1.342,-0.250,0.010
1.344,-0.235,0.020
1.347,-0.230,0.010
1.350,-0.240,0.000
1.353,-0.255,-0.010
1.356,-0.250,0.000
1.358,-0.240,0.015
1.361,-0.220,0.015
1.364,-0.220,0.005
1.367,-0.240,0.000
1.369,-0.240,0.000
1.372,-0.240,0.015
1.375,-0.240,0.025
1.378,-0.225,0.020
1.381,-0.225,0.010
1.383,-0.235,-0.005
1.386,-0.235,0.000
1.389,-0.245,0.010
1.392,-0.230,0.030
1.394,-0.220,0.030
1.397,-0.215,0.020
1.400,-0.230,0.015
1.403,-0.240,0.010
1.406,-0.255,0.010
1.408,-0.245,0.035
1.411,-0.220,0.035
1.414,-0.230,0.030
1.417,-0.240,0.020
1.419,-0.255,0.005
1.422,-0.260,0.015
1.425,-0.245,0.025
1.428,-0.240,0.030
1.431,-0.235,0.020
1.433,-0.255,0.005
1.436,-0.265,-0.005
1.439,-0.270,0.005
1.442,-0.250,0.010
1.444,-0.235,0.020
1.447,-0.240,0.015
1.450,-0.250,0.000
1.453,-0.260,-0.010
1.456,-0.260,-0.005
1.458,-0.250,0.010
1.461,-0.240,0.030
1.464,-0.240,0.000
1.467,-0.255,0.005
1.469,-0.265,-0.015
1.472,-0.270,-0.005
1.475,-0.265,0.015
1.478,-0.250,0.030
1.481,-0.255,0.010
1.483,-0.280,-0.005
1.486,-0.290,-0.020
1.489,-0.280,-0.005
1.492,-0.280,0.000
1.494,-0.260,0.015
1.497,-0.265,0.005
1.500,-0.275,-0.010
1.503,-0.285,-0.015
1.506,-0.285,-0.010
1.508,-0.265,0.000
1.511,-0.250,0.015
1.514,-0.255,-0.005
1.517,-0.270,-0.020
1.519,-0.280,-0.030
1.522,-0.280,-0.005
1.525,-0.265,0.000
1.528,-0.245,-0.005
1.531,-0.260,0.000
1.533,-0.265,-0.005
1.536,-0.270,-0.015
1.539,-0.270,-0.010
1.542,-0.260,-0.010
1.544,-0.255,0.005
1.547,-0.250,-0.005
1.550,-0.270,-0.010
1.553,-0.270,-0.010
1.556,-0.280,-0.005
1.558,-0.270,-0.005
1.561,-0.265,-0.005
1.564,-0.260,-0.010
1.567,-0.285,-0.025
1.569,-0.285,-0.020
1.572,-0.285,-0.020
1.575,-0.285,-0.010
1.578,-0.260,-0.005
1.581,-0.275,-0.005
1.583,-0.275,-0.020
1.586,-0.280,-0.030
1.589,-0.275,-0.015
1.592,-0.275,-0.010
1.594,-0.265,0.005
1.597,-0.250,0.000
1.600,-0.270,-0.020
1.603,-0.275,-0.010
1.606,-0.290,-0.020
1.608,-0.270,0.000
1.611,-0.265,0.000
1.614,-0.265,-0.005
1.617,-0.270,-0.020
1.619,-0.295,-0.030
1.622,-0.295,-0.015
1.625,-0.285,0.000
1.628,-0.265,0.000
1.631,-0.260,-0.005
1.633,-0.270,-0.010
1.636,-0.285,-0.025
1.639,-0.310,-0.025
1.642,-0.290,-0.015
1.644,-0.270,-0.005
1.647,-0.270,-0.005
1.650,-0.280,-0.025
1.653,-0.295,-0.030
1.656,-0.295,-0.010
1.658,-0.285,0.005
1.661,-0.275,-0.005
1.664,-0.270,-0.010
1.667,-0.280,-0.025
1.669,-0.285,-0.035
1.672,-0.300,-0.010
1.675,-0.270,0.000
1.678,-0.275,0.000
1.681,-0.280,-0.005
1.683,-0.275,-0.025
1.686,-0.280,-0.030
1.689,-0.285,-0.025
1.692,-0.270,-0.010
1.694,-0.255,0.000
1.697,-0.255,-0.005
1.700,-0.265,-0.020
1.703,-0.270,-0.020
1.706,-0.290,-0.020
1.708,-0.260,0.000
1.711,-0.245,0.000
1.714,-0.255,-0.005
1.717,-0.265,-0.025
1.719,-0.285,-0.030
1.722,-0.285,-0.020
1.725,-0.265,-0.005
1.728,-0.245,0.010
1.731,-0.255,-0.005
1.733,-0.270,-0.015
1.736,-0.275,-0.030
1.739,-0.285,-0.005
1.742,-0.270,-0.010
1.744,-0.255,0.000
1.747,-0.250,0.000
1.750,-0.260,-0.015
1.753,-0.270,-0.020
1.756,-0.270,0.005
1.758,-0.260,0.005
1.761,-0.230,0.000
1.764,-0.240,0.000
1.767,-0.245,-0.010
1.769,-0.245,-0.010
1.772,-0.240,0.025
1.775,-0.215,0.025
1.778,-0.195,0.040
1.781,-0.200,0.040
1.783,-0.210,0.020
1.786,-0.210,0.015
1.789,-0.205,0.030
1.792,-0.195,0.045
1.794,-0.180,0.050
1.797,-0.175,0.060
1.800,-0.175,0.045
1.803,-0.190,0.030
1.806,-0.200,0.050
1.808,-0.195,0.055
1.811,-0.185,0.070
1.814,-0.185,0.045
1.817,-0.215,0.015
1.819,-0.220,0.000
1.822,-0.235,0.025
1.825,-0.230,0.025
1.828,-0.220,0.025
1.831,-0.225,0.040
1.833,-0.240,0.030
1.836,-0.245,0.020
1.839,-0.235,0.030
1.842,-0.245,0.050
1.844,-0.210,0.055
1.847,-0.220,0.055
1.850,-0.230,0.030
1.853,-0.240,0.025
1.856,-0.235,0.040
1.858,-0.225,0.045
1.861,-0.210,0.035
1.864,-0.210,0.010
1.867,-0.225,-0.015
1.869,-0.245,-0.010
1.872,-0.280,-0.005
