'Elapsed time','V5','V2'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',-0.200,0.005
'0:00.003',-0.200,0.005
'0:00.006',-0.200,0.005
'0:00.008',-0.200,0.005
'0:00.011',-0.200,0.005
'0:00.014',-0.200,0.005
'0:00.017',-0.200,0.005
'0:00.019',-0.200,0.005
'0:00.022',-0.190,0.005
'0:00.025',-0.175,0.005
'0:00.028',-0.190,0.005
'0:00.031',-0.205,-0.005
'0:00.033',-0.210,-0.005
'0:00.036',-0.200,0.010
'0:00.039',-0.195,-0.010
'0:00.042',-0.210,-0.010
'0:00.044',-0.230,-0.020
'0:00.047',-0.235,-0.035
'0:00.050',-0.245,-0.025
'0:00.053',-0.235,-0.010
'0:00.056',-0.230,-0.030
'0:00.058',-0.230,-0.040
'0:00.061',-0.245,-0.050
'0:00.064',-0.270,-0.060
'0:00.067',-0.260,-0.045
'0:00.069',-0.240,-0.035
'0:00.072',-0.225,-0.055
'0:00.075',-0.220,-0.065
'0:00.078',-0.225,-0.075
'0:00.081',-0.225,-0.095
'0:00.083',-0.225,-0.085
'0:00.086',-0.225,-0.075
'0:00.089',-0.220,-0.085
'0:00.092',-0.235,-0.090
'0:00.094',-0.260,-0.100
'0:00.097',-0.260,-0.120
'0:00.100',-0.260,-0.105
'0:00.103',-0.260,-0.100
'0:00.106',-0.255,-0.105
'0:00.108',-0.255,-0.125
'0:00.111',-0.260,-0.135
'0:00.114',-0.260,-0.145
'0:00.117',-0.265,-0.130
'0:00.119',-0.250,-0.110
'0:00.122',-0.240,-0.130
'0:00.125',-0.255,-0.140
'0:00.128',-0.265,-0.150
'0:00.131',-0.280,-0.150
'0:00.133',-0.260,-0.155
'0:00.136',-0.255,-0.140
'0:00.139',-0.250,-0.150
'0:00.142',-0.245,-0.150
'0:00.144',-0.250,-0.175
'0:00.147',-0.255,-0.170
'0:00.150',-0.245,-0.155
'0:00.153',-0.240,-0.155
'0:00.156',-0.250,-0.155
'0:00.158',-0.245,-0.170
'0:00.161',-0.265,-0.180
'0:00.164',-0.270,-0.175
'0:00.167',-0.250,-0.165
'0:00.169',-0.250,-0.150
'0:00.172',-0.245,-0.160
'0:00.175',-0.250,-0.160
'0:00.178',-0.255,-0.150
'0:00.181',-0.255,-0.150
'0:00.183',-0.240,-0.140
'0:00.186',-0.245,-0.125
'0:00.189',-0.265,-0.125
'0:00.192',-0.260,-0.130
'0:00.194',-0.270,-0.125
'0:00.197',-0.280,-0.135
'0:00.200',-0.280,-0.125
'0:00.203',-0.265,-0.115
'0:00.206',-0.265,-0.125
'0:00.208',-0.260,-0.135
'0:00.211',-0.265,-0.135
'0:00.214',-0.255,-0.140
'0:00.217',-0.245,-0.135
'0:00.219',-0.230,-0.130
'0:00.222',-0.230,-0.145
'0:00.225',-0.235,-0.155
'0:00.228',-0.230,-0.165
'0:00.231',-0.235,-0.185
'0:00.233',-0.215,-0.195
'0:00.236',-0.190,-0.180
'0:00.239',-0.175,-0.190
'0:00.242',-0.175,-0.200
'0:00.244',-0.195,-0.210
'0:00.247',-0.225,-0.220
'0:00.250',-0.225,-0.205
'0:00.253',-0.225,-0.215
'0:00.256',-0.230,-0.225
'0:00.258',-0.215,-0.235
'0:00.261',-0.225,-0.255
'0:00.264',-0.225,-0.250
'0:00.267',-0.205,-0.245
'0:00.269',-0.165,-0.225
'0:00.272',-0.135,-0.230
'0:00.275',-0.135,-0.220
'0:00.278',-0.145,-0.220
'0:00.281',-0.165,-0.230
'0:00.283',-0.170,-0.210
'0:00.286',-0.170,-0.205
'0:00.289',-0.185,-0.215
'0:00.292',-0.205,-0.195
'0:00.294',-0.225,-0.160
'0:00.297',-0.230,-0.080
'0:00.300',-0.195,0.145
'0:00.303',-0.155,0.530
'0:00.306',-0.120,0.805
'0:00.308',-0.070,0.735
'0:00.311',-0.005,0.485
'0:00.314',0.215,0.285
'0:00.317',0.575,0.240
'0:00.319',0.845,0.220
'0:00.322',0.800,0.155
'0:00.325',0.525,0.100
'0:00.328',0.275,0.035
'0:00.331',0.180,-0.065
'0:00.333',0.195,-0.155
'0:00.336',0.230,-0.270
'0:00.339',0.255,-0.415
'0:00.342',0.280,-0.595
'0:00.344',0.285,-0.765
'0:00.347',0.300,-0.945
'0:00.350',0.320,-1.060
'0:00.353',0.340,-1.155
'0:00.356',0.355,-1.240
'0:00.358',0.345,-1.345
'0:00.361',0.330,-1.455
'0:00.364',0.320,-1.605
'0:00.367',0.340,-1.755
'0:00.369',0.380,-1.930
'0:00.372',0.400,-2.100
'0:00.375',0.410,-2.235
'0:00.378',0.395,-2.360
'0:00.381',0.365,-2.490
'0:00.383',0.335,-2.595
'0:00.386',0.310,-2.700
'0:00.389',0.260,-2.790
'0:00.392',0.195,-2.860
'0:00.394',0.125,-2.930
'0:00.397',0.050,-3.005
'0:00.400',-0.035,-3.045
'0:00.403',-0.130,-3.065
