'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',-0.125,-0.780
'0:00.003',-0.125,-0.780
'0:00.006',-0.125,-0.780
'0:00.008',-0.125,-0.780
'0:00.011',-0.125,-0.780
'0:00.014',-0.125,-0.780
'0:00.017',-0.125,-0.780
'0:00.019',-0.125,-0.800
'0:00.022',-0.135,-0.810
'0:00.025',-0.125,-0.840
'0:00.028',-0.125,-0.830
'0:00.031',-0.120,-0.820
'0:00.033',-0.095,-0.815
'0:00.036',-0.085,-0.810
'0:00.039',-0.105,-0.800
'0:00.042',-0.170,-0.815
'0:00.044',-0.225,-0.835
'0:00.047',-0.255,-0.840
'0:00.050',-0.280,-0.820
'0:00.053',-0.295,-0.810
'0:00.056',-0.340,-0.825
'0:00.058',-0.395,-0.850
'0:00.061',-0.410,-0.860
'0:00.064',-0.405,-0.845
'0:00.067',-0.380,-0.840
'0:00.069',-0.370,-0.845
'0:00.072',-0.390,-0.850
'0:00.075',-0.410,-0.865
'0:00.078',-0.425,-0.875
'0:00.081',-0.420,-0.855
'0:00.083',-0.405,-0.850
'0:00.086',-0.370,-0.855
'0:00.089',-0.375,-0.855
'0:00.092',-0.390,-0.850
'0:00.094',-0.410,-0.865
'0:00.097',-0.405,-0.865
'0:00.100',-0.395,-0.855
'0:00.103',-0.375,-0.850
'0:00.106',-0.390,-0.845
'0:00.108',-0.395,-0.845
'0:00.111',-0.395,-0.860
'0:00.114',-0.395,-0.850
'0:00.117',-0.385,-0.840
'0:00.119',-0.380,-0.830
'0:00.122',-0.385,-0.840
'0:00.125',-0.400,-0.855
'0:00.128',-0.405,-0.860
'0:00.131',-0.405,-0.855
'0:00.133',-0.405,-0.855
'0:00.136',-0.415,-0.855
'0:00.139',-0.435,-0.855
'0:00.142',-0.425,-0.870
'0:00.144',-0.425,-0.870
'0:00.147',-0.390,-0.855
'0:00.150',-0.375,-0.845
'0:00.153',-0.365,-0.830
'0:00.156',-0.370,-0.815
'0:00.158',-0.365,-0.825
'0:00.161',-0.380,-0.835
'0:00.164',-0.405,-0.855
'0:00.167',-0.405,-0.905
'0:00.169',-0.390,-0.950
'0:00.172',-0.365,-1.045
'0:00.175',-0.330,-1.140
'0:00.178',-0.320,-1.260
'0:00.181',-0.295,-1.435
'0:00.183',-0.270,-1.670
'0:00.186',-0.280,-1.920
'0:00.189',-0.340,-2.095
'0:00.192',-0.440,-2.170
'0:00.194',-0.510,-2.170
'0:00.197',-0.520,-2.125
'0:00.200',-0.510,-2.080
'0:00.203',-0.510,-2.055
'0:00.206',-0.535,-2.030
'0:00.208',-0.540,-1.995
'0:00.211',-0.585,-1.955
'0:00.214',-0.625,-1.930
'0:00.217',-0.640,-1.890
'0:00.219',-0.650,-1.860
'0:00.222',-0.685,-1.835
'0:00.225',-0.730,-1.810
'0:00.228',-0.780,-1.765
'0:00.231',-0.835,-1.710
'0:00.233',-0.885,-1.665
'0:00.236',-0.915,-1.625
'0:00.239',-0.940,-1.600
'0:00.242',-0.975,-1.585
'0:00.244',-0.980,-1.530
'0:00.247',-0.940,-1.445
'0:00.250',-0.915,-1.360
'0:00.253',-0.895,-1.270
'0:00.256',-0.890,-1.195
'0:00.258',-0.830,-1.140
'0:00.261',-0.760,-1.095
'0:00.264',-0.700,-1.025
'0:00.267',-0.625,-0.955
'0:00.269',-0.580,-0.885
'0:00.272',-0.545,-0.840
'0:00.275',-0.505,-0.820
'0:00.278',-0.485,-0.770
'0:00.281',-0.445,-0.725
'0:00.283',-0.395,-0.670
'0:00.286',-0.370,-0.655
'0:00.289',-0.370,-0.640
'0:00.292',-0.360,-0.645
'0:00.294',-0.360,-0.640
'0:00.297',-0.355,-0.615
'0:00.300',-0.325,-0.595
'0:00.303',-0.315,-0.585
'0:00.306',-0.320,-0.580
'0:00.308',-0.345,-0.595
'0:00.311',-0.345,-0.580
'0:00.314',-0.330,-0.580
'0:00.317',-0.300,-0.565
'0:00.319',-0.285,-0.555
'0:00.322',-0.300,-0.555
'0:00.325',-0.290,-0.545
'0:00.328',-0.295,-0.545
'0:00.331',-0.300,-0.540
'0:00.333',-0.290,-0.515
'0:00.336',-0.280,-0.510
'0:00.339',-0.285,-0.515
'0:00.342',-0.320,-0.530
'0:00.344',-0.320,-0.525
'0:00.347',-0.310,-0.510
'0:00.350',-0.295,-0.485
'0:00.353',-0.285,-0.485
'0:00.356',-0.275,-0.475
'0:00.358',-0.285,-0.485
'0:00.361',-0.290,-0.485
'0:00.364',-0.295,-0.475
'0:00.367',-0.285,-0.465
'0:00.369',-0.285,-0.475
'0:00.372',-0.290,-0.475
'0:00.375',-0.285,-0.485
'0:00.378',-0.275,-0.475
'0:00.381',-0.280,-0.465
'0:00.383',-0.270,-0.455
'0:00.386',-0.260,-0.450
'0:00.389',-0.270,-0.450
'0:00.392',-0.270,-0.470
'0:00.394',-0.275,-0.470
'0:00.397',-0.260,-0.455
'0:00.400',-0.240,-0.435
'0:00.403',-0.225,-0.425
'0:00.406',-0.240,-0.430
'0:00.408',-0.265,-0.435
'0:00.411',-0.280,-0.455
'0:00.414',-0.275,-0.435
'0:00.417',-0.240,-0.430
'0:00.419',-0.220,-0.425
'0:00.422',-0.220,-0.430
'0:00.425',-0.225,-0.440
'0:00.428',-0.240,-0.435
'0:00.431',-0.220,-0.430
'0:00.433',-0.200,-0.415
'0:00.436',-0.190,-0.415
'0:00.439',-0.185,-0.415
'0:00.442',-0.220,-0.435
'0:00.444',-0.245,-0.430
'0:00.447',-0.225,-0.420
'0:00.450',-0.195,-0.410
'0:00.453',-0.185,-0.405
'0:00.456',-0.165,-0.405
'0:00.458',-0.180,-0.420
'0:00.461',-0.190,-0.425
'0:00.464',-0.185,-0.415
'0:00.467',-0.180,-0.400
'0:00.469',-0.165,-0.395
'0:00.472',-0.170,-0.395
'0:00.475',-0.155,-0.415
'0:00.478',-0.160,-0.415
'0:00.481',-0.175,-0.425
'0:00.483',-0.175,-0.420
'0:00.486',-0.145,-0.425
'0:00.489',-0.170,-0.435
'0:00.492',-0.160,-0.440
'0:00.494',-0.165,-0.450
'0:00.497',-0.165,-0.455
'0:00.500',-0.160,-0.440
'0:00.503',-0.155,-0.445
'0:00.506',-0.165,-0.435
'0:00.508',-0.170,-0.455
'0:00.511',-0.190,-0.475
'0:00.514',-0.195,-0.475
'0:00.517',-0.195,-0.470
'0:00.519',-0.180,-0.480
'0:00.522',-0.180,-0.495
'0:00.525',-0.200,-0.500
'0:00.528',-0.200,-0.510
'0:00.531',-0.205,-0.490
'0:00.533',-0.200,-0.500
'0:00.536',-0.190,-0.515
'0:00.539',-0.190,-0.525
'0:00.542',-0.200,-0.550
'0:00.544',-0.230,-0.560
'0:00.547',-0.225,-0.570
'0:00.550',-0.210,-0.560
'0:00.553',-0.215,-0.565
'0:00.556',-0.205,-0.565
'0:00.558',-0.215,-0.565
'0:00.561',-0.230,-0.575
'0:00.564',-0.260,-0.570
'0:00.567',-0.255,-0.560
'0:00.569',-0.250,-0.570
'0:00.572',-0.240,-0.580
'0:00.575',-0.245,-0.580
'0:00.578',-0.250,-0.580
'0:00.581',-0.265,-0.580
'0:00.583',-0.270,-0.560
'0:00.586',-0.255,-0.555
'0:00.589',-0.265,-0.565
'0:00.592',-0.265,-0.575
'0:00.594',-0.270,-0.580
'0:00.597',-0.280,-0.565
'0:00.600',-0.260,-0.545
'0:00.603',-0.255,-0.545
'0:00.606',-0.260,-0.545
'0:00.608',-0.270,-0.565
'0:00.611',-0.275,-0.565
'0:00.614',-0.270,-0.560
'0:00.617',-0.255,-0.545
'0:00.619',-0.255,-0.540
'0:00.622',-0.260,-0.540
'0:00.625',-0.270,-0.540
'0:00.628',-0.275,-0.545
'0:00.631',-0.270,-0.535
'0:00.633',-0.265,-0.525
'0:00.636',-0.255,-0.515
'0:00.639',-0.265,-0.510
'0:00.642',-0.280,-0.520
'0:00.644',-0.285,-0.510
'0:00.647',-0.285,-0.500
'0:00.650',-0.280,-0.495
'0:00.653',-0.260,-0.480
'0:00.656',-0.265,-0.495
'0:00.658',-0.270,-0.500
'0:00.661',-0.280,-0.495
'0:00.664',-0.285,-0.480
'0:00.667',-0.285,-0.465
'0:00.669',-0.260,-0.460
'0:00.672',-0.255,-0.450
'0:00.675',-0.270,-0.465
'0:00.678',-0.275,-0.470
'0:00.681',-0.285,-0.450
'0:00.683',-0.270,-0.430
'0:00.686',-0.275,-0.425
'0:00.689',-0.290,-0.440
'0:00.692',-0.305,-0.440
'0:00.694',-0.320,-0.440
'0:00.697',-0.305,-0.435
'0:00.700',-0.290,-0.415
'0:00.703',-0.275,-0.415
'0:00.706',-0.285,-0.420
'0:00.708',-0.310,-0.425
'0:00.711',-0.325,-0.430
'0:00.714',-0.315,-0.410
'0:00.717',-0.315,-0.415
'0:00.719',-0.300,-0.410
'0:00.722',-0.310,-0.415
'0:00.725',-0.335,-0.430
'0:00.728',-0.340,-0.425
'0:00.731',-0.365,-0.410
'0:00.733',-0.355,-0.405
'0:00.736',-0.335,-0.400
'0:00.739',-0.340,-0.410
'0:00.742',-0.340,-0.425
'0:00.744',-0.375,-0.405
'0:00.747',-0.365,-0.410
'0:00.750',-0.350,-0.410
'0:00.753',-0.340,-0.410
'0:00.756',-0.360,-0.405
'0:00.758',-0.360,-0.410
'0:00.761',-0.375,-0.420
'0:00.764',-0.370,-0.415
'0:00.767',-0.355,-0.405
'0:00.769',-0.350,-0.400
'0:00.772',-0.350,-0.400
'0:00.775',-0.360,-0.415
'0:00.778',-0.370,-0.415
'0:00.781',-0.375,-0.420
'0:00.783',-0.375,-0.405
'0:00.786',-0.350,-0.410
'0:00.789',-0.360,-0.400
'0:00.792',-0.360,-0.415
'0:00.794',-0.380,-0.420
'0:00.797',-0.375,-0.410
'0:00.800',-0.355,-0.400
'0:00.803',-0.345,-0.400
'0:00.806',-0.340,-0.400
'0:00.808',-0.345,-0.415
'0:00.811',-0.355,-0.415
'0:00.814',-0.360,-0.405
'0:00.817',-0.345,-0.390
'0:00.819',-0.335,-0.380
'0:00.822',-0.345,-0.395
'0:00.825',-0.340,-0.405
'0:00.828',-0.340,-0.395
'0:00.831',-0.340,-0.395
'0:00.833',-0.330,-0.380
'0:00.836',-0.330,-0.385
'0:00.839',-0.325,-0.400
'0:00.842',-0.330,-0.395
'0:00.844',-0.335,-0.400
'0:00.847',-0.330,-0.375
'0:00.850',-0.310,-0.375
'0:00.853',-0.295,-0.380
'0:00.856',-0.300,-0.385
'0:00.858',-0.320,-0.395
'0:00.861',-0.330,-0.405
'0:00.864',-0.345,-0.390
'0:00.867',-0.325,-0.385
'0:00.869',-0.315,-0.380
'0:00.872',-0.310,-0.380
'0:00.875',-0.315,-0.385
'0:00.878',-0.345,-0.385
'0:00.881',-0.330,-0.385
'0:00.883',-0.310,-0.375
'0:00.886',-0.290,-0.370
'0:00.889',-0.315,-0.380
'0:00.892',-0.335,-0.395
'0:00.894',-0.335,-0.395
'0:00.897',-0.345,-0.370
'0:00.900',-0.325,-0.360
'0:00.903',-0.305,-0.365
'0:00.906',-0.300,-0.365
'0:00.908',-0.305,-0.370
'0:00.911',-0.305,-0.380
'0:00.914',-0.315,-0.360
'0:00.917',-0.300,-0.350
'0:00.919',-0.290,-0.345
'0:00.922',-0.300,-0.350
'0:00.925',-0.320,-0.345
'0:00.928',-0.325,-0.355
'0:00.931',-0.320,-0.350
'0:00.933',-0.305,-0.335
'0:00.936',-0.305,-0.325
'0:00.939',-0.310,-0.320
'0:00.942',-0.310,-0.350
'0:00.944',-0.310,-0.350
'0:00.947',-0.305,-0.355
'0:00.950',-0.300,-0.345
'0:00.953',-0.280,-0.325
'0:00.956',-0.265,-0.330
'0:00.958',-0.275,-0.320
'0:00.961',-0.280,-0.305
'0:00.964',-0.265,-0.315
'0:00.967',-0.250,-0.290
'0:00.969',-0.235,-0.275
'0:00.972',-0.225,-0.260
'0:00.975',-0.225,-0.255
'0:00.978',-0.230,-0.255
'0:00.981',-0.200,-0.240
'0:00.983',-0.180,-0.235
'0:00.986',-0.155,-0.235
'0:00.989',-0.145,-0.250
'0:00.992',-0.150,-0.285
'0:00.994',-0.150,-0.300
'0:00.997',-0.120,-0.285
'0:01.000',-0.105,-0.270
'0:01.003',-0.095,-0.280
'0:01.006',-0.085,-0.290
'0:01.008',-0.090,-0.290
'0:01.011',-0.095,-0.305
'0:01.014',-0.095,-0.300
'0:01.017',-0.075,-0.285
'0:01.019',-0.055,-0.280
'0:01.022',-0.050,-0.270
'0:01.025',-0.065,-0.285
'0:01.028',-0.110,-0.280
'0:01.031',-0.135,-0.275
'0:01.033',-0.165,-0.270
'0:01.036',-0.185,-0.275
'0:01.039',-0.220,-0.285
'0:01.042',-0.275,-0.295
'0:01.044',-0.320,-0.305
'0:01.047',-0.350,-0.300
'0:01.050',-0.370,-0.310
'0:01.053',-0.350,-0.305
'0:01.056',-0.350,-0.315
'0:01.058',-0.355,-0.325
'0:01.061',-0.360,-0.330
'0:01.064',-0.365,-0.320
'0:01.067',-0.360,-0.305
'0:01.069',-0.345,-0.300
'0:01.072',-0.340,-0.305
'0:01.075',-0.355,-0.310
'0:01.078',-0.370,-0.325
'0:01.081',-0.380,-0.320
'0:01.083',-0.390,-0.290
'0:01.086',-0.360,-0.295
'0:01.089',-0.340,-0.290
'0:01.092',-0.320,-0.295
'0:01.094',-0.340,-0.295
'0:01.097',-0.360,-0.290
'0:01.100',-0.355,-0.280
'0:01.103',-0.345,-0.285
'0:01.106',-0.340,-0.295
'0:01.108',-0.355,-0.300
'0:01.111',-0.350,-0.305
'0:01.114',-0.350,-0.285
'0:01.117',-0.345,-0.280
'0:01.119',-0.350,-0.280
'0:01.122',-0.355,-0.295
'0:01.125',-0.370,-0.305
'0:01.128',-0.370,-0.300
'0:01.131',-0.360,-0.295
'0:01.133',-0.345,-0.275
'0:01.136',-0.330,-0.275
'0:01.139',-0.330,-0.265
'0:01.142',-0.350,-0.280
'0:01.144',-0.360,-0.270
'0:01.147',-0.370,-0.270
'0:01.150',-0.375,-0.290
'0:01.153',-0.385,-0.360
'0:01.156',-0.390,-0.435
'0:01.158',-0.375,-0.525
'0:01.161',-0.345,-0.625
'0:01.164',-0.315,-0.750
'0:01.167',-0.275,-0.940
'0:01.169',-0.250,-1.195
'0:01.172',-0.265,-1.460
'0:01.175',-0.340,-1.660
'0:01.178',-0.425,-1.705
'0:01.181',-0.495,-1.665
'0:01.183',-0.510,-1.605
'0:01.186',-0.495,-1.570
'0:01.189',-0.485,-1.530
'0:01.192',-0.495,-1.510
'0:01.194',-0.530,-1.460
'0:01.197',-0.575,-1.410
'0:01.200',-0.600,-1.375
'0:01.203',-0.630,-1.355
'0:01.206',-0.655,-1.330
'0:01.208',-0.680,-1.295
'0:01.211',-0.725,-1.260
'0:01.214',-0.780,-1.200
'0:01.217',-0.845,-1.145
'0:01.219',-0.900,-1.095
'0:01.222',-0.915,-1.065
'0:01.225',-0.935,-1.025
'0:01.228',-0.935,-0.970
'0:01.231',-0.915,-0.875
'0:01.233',-0.880,-0.755
'0:01.236',-0.855,-0.685
'0:01.239',-0.820,-0.615
'0:01.242',-0.755,-0.560
'0:01.244',-0.685,-0.475
'0:01.247',-0.610,-0.410
'0:01.250',-0.550,-0.330
'0:01.253',-0.510,-0.265
'0:01.256',-0.480,-0.215
'0:01.258',-0.440,-0.180
'0:01.261',-0.390,-0.140
'0:01.264',-0.355,-0.080
'0:01.267',-0.315,-0.045
'0:01.269',-0.300,-0.025
'0:01.272',-0.300,-0.005
'0:01.275',-0.300,-0.010
'0:01.278',-0.300,0.005
'0:01.281',-0.290,0.005
'0:01.283',-0.275,0.020
'0:01.286',-0.265,0.040
'0:01.289',-0.275,0.045
'0:01.292',-0.290,0.040
'0:01.294',-0.300,0.045
'0:01.297',-0.275,0.065
'0:01.300',-0.255,0.080
'0:01.303',-0.245,0.085
'0:01.306',-0.260,0.095
'0:01.308',-0.280,0.095
'0:01.311',-0.275,0.085
'0:01.314',-0.260,0.110
'0:01.317',-0.245,0.120
'0:01.319',-0.240,0.120
'0:01.322',-0.250,0.130
'0:01.325',-0.245,0.115
'0:01.328',-0.260,0.120
'0:01.331',-0.265,0.130
'0:01.333',-0.270,0.145
'0:01.336',-0.240,0.160
'0:01.339',-0.230,0.155
'0:01.342',-0.220,0.140
'0:01.344',-0.225,0.145
'0:01.347',-0.220,0.160
'0:01.350',-0.225,0.170
'0:01.353',-0.225,0.175
'0:01.356',-0.225,0.160
'0:01.358',-0.240,0.160
'0:01.361',-0.240,0.165
'0:01.364',-0.240,0.175
'0:01.367',-0.230,0.195
'0:01.369',-0.200,0.195
'0:01.372',-0.195,0.190
'0:01.375',-0.200,0.195
'0:01.378',-0.215,0.195
'0:01.381',-0.230,0.200
'0:01.383',-0.215,0.215
'0:01.386',-0.180,0.220
'0:01.389',-0.180,0.225
'0:01.392',-0.185,0.200
'0:01.394',-0.195,0.205
'0:01.397',-0.200,0.210
'0:01.400',-0.195,0.215
'0:01.403',-0.175,0.230
'0:01.406',-0.155,0.220
'0:01.408',-0.155,0.205
'0:01.411',-0.175,0.220
'0:01.414',-0.170,0.220
'0:01.417',-0.145,0.230
'0:01.419',-0.140,0.230
'0:01.422',-0.150,0.220
'0:01.425',-0.160,0.205
'0:01.428',-0.155,0.215
'0:01.431',-0.140,0.225
'0:01.433',-0.135,0.225
'0:01.436',-0.115,0.225
'0:01.439',-0.120,0.220
'0:01.442',-0.110,0.210
'0:01.444',-0.115,0.210
'0:01.447',-0.110,0.210
'0:01.450',-0.110,0.225
'0:01.453',-0.095,0.215
'0:01.456',-0.110,0.205
'0:01.458',-0.115,0.190
'0:01.461',-0.130,0.190
'0:01.464',-0.120,0.190
'0:01.467',-0.105,0.190
